Token_Original,Skill_Standard_Internasional
ACI Field Testing Technician Level 1 certification,Aci Field Testing Technician Level 1 Certification
ACI Laboratory Testing Technician Level 1 certification,Aci Laboratory Testing Technician Level 1 Certification
ACI Strength Testing certification,Aci Strength Testing Certification
ACID,ACID
ACL,ACL
ACL (Audit Command Language),Acl (Audit Command Language)
ACM,ACM
ACMT,ACMT
ACSP certification,ACSP certification
ACSP/ACTC/ACMT certifications,ACSP/ACTC/ACMT certifications
AD,AD
ADA,ADA
ADA Compliance,ADA Compliance
ADAHRS,ADAHRS
ADAM,ADAM
ADF (Azure Data Factory),Adf (Azure Data Factory)
ADF Certification,ADF Certification
ADF Developer - 89224477,ADF Developer - 89224477
ADF pipelines,ADF pipelines
ADFDevelopment,ADFDevelopment
ADLS,ADLS
ADLS (Parquet AVRO Delta formats),Adls (Parquet Avro Delta Formats)
ADLS 2,ADLS 2
ADLS Gen 2,Adls Gen 2
ADLS Gen1/Gen2 (Azure Data Lake Storage),Adls Gen1/Gen2 (Azure Data Lake Storage)
ADLS Gen2,ADLS Gen2
ADLS Gen2 curated zone,Adls Gen2 Curated Zone
ADLS2,ADLS2
ADLSDelta lake,ADLSDelta lake
ADMIN BIG DATA,Admin Big Data
ADMINISTRATOR,Administrator
ADO,ADO
ADP,ADP
ADVANA,ADVANA
ADVANCEEXCEL,ADVANCEEXCEL
ADW,ADW
ADX (Kusto),ADX (Kusto)
AEC,AEC
AED certifications,AED certifications
AEH,AEH
AEP WebSDK,AEP WebSDK
AES,AES
AESP - Junior High General Clerical Class II-A,AESP - Junior High General Clerical Class II-A
AF 123,AF 123
AF 332,AF 332
AF 813,AF 813
AFCYBER,AFCYBER
AFM,AFM
AFS,AFS
AGILE PROJECT MANAGER,Agile Project Manager
AGILE software development,Agile Software Development
AI & machine learning,Ai & Machine Learning
AI / ML Data Science Engineer,AI / ML Data Science Engineer
AI / ML Engineer (Model Development Support),AI / ML Engineer (Model Development Support)
AI Algorithms,AI Algorithms
AI Algorithms/Machine Learning,Ai Algorithms/Machine Learning
AI Creative Engineer,AI Creative Engineer
AI Data Engineer Lead (Principal),AI Data Engineer Lead (Principal)
AI Data Engineering,Ai Data Engineering
AI Data Scientist,AI Data Scientist
AI Developers,AI Developers
AI Engineer,AI Engineer
AI Engineer (Intern),AI Engineer (Intern)
AI Engineer Specialist,AI Engineer Specialist
AI Engineer Staff,AI Engineer Staff
AI Engineering,AI Engineering
AI Engineers,AI Engineers
AI Ethics Consultant,AI Ethics Consultant
AI Frameworks,AI Frameworks
AI Harness Engineer / AI Native Engineer,AI Harness Engineer / AI Native Engineer
AI Integration,AI Integration
AI Models,AI Models
AI Outputs,AI Outputs
AI Platform,AI Platform
AI Prompts,AI Prompts
AI R&D,AI R&D
AI RESEARCHER,AI Researcher
AI SOFTWARE ARCHITECT,Ai Software Architect
AI Studio,AI Studio
AI Systems,AI Systems
AI Technologies,AI Technologies
AI Training,AI Training
AI Training Models,Ai Training Models
AI algorithms and architectures,Ai Algorithms And Architectures
AI application,AI application
AI deep learning,Ai Deep Learning
AI development,AI development
AI libraries,AI libraries
AI specialist,AI specialist
AI technology,AI technology
AI/Deep Learning,AI/Deep Learning
AI/ML Algorithms,AI/ML Algorithms
AI/ML Architecture,AI/ML Architecture
AI/ML Cloud Services,Ai/Ml Cloud Services
AI/ML Development,AI/ML Development
AI/ML Engineer,AI/ML Engineer
AI/ML Engineer INTERN,AI/ML Engineer INTERN
AI/ML Engineer-Data Scientist,AI/ML Engineer-Data Scientist
AI/ML Frameworks,AI/ML Frameworks
AI/ML Models,AI/ML Models
AI/ML Projects,AI/ML Projects
AI/ML Systems,AI/ML Systems
AI/ML Tools,AI/ML Tools
AI/ML training,AI/ML training
AI/Machine Learning,AI/Machine Learning
AIOPS,AIOPS
AIOPS platforms,AIOPS platforms
AIP/MIP labels,AIP/MIP labels
AIX,AIX
AIX Operating System,Aix Operating System
AIX/UNIX,AIX/UNIX
AIcentric Features,AIcentric Features
AIpowered insight tools,Aipowered Insight Tools
AJAX,AJAX
AKS (Azure Kubernetes Service),Aks (Azure Kubernetes Service)
ALE Omniswitch AOS,Ale Omniswitch Aos
ALM,ALM
ALM DevOps Engineer,ALM DevOps Engineer
ALM tools,ALM tools
ALTA IT Services,Alta It Services
AMA,AMA
AMF,AMF
AMIs,AMIs
AML,AML
AMLA,AMLA
AMOS,AMOS
AMP,AMP
AMQP,AMQP
AMQP/MQ/JMS Queue Protocols,Amqp/Mq/Jms Queue Protocols
ANALYST I DATA STRATEGIES,Analyst I Data Strategies
ANGULAR DEVELOPER,Angular Developer
ANGULAR JS DEVELOPER,Angular Js Developer
ANGULAR JS DEVELOPERS,Angular Js Developers
ANIMATION DIRECTOR,Animation Director
ANIMATOR,Animator
ANOVA,ANOVA
ANSI,ANSI
ANSI SQL,ANSI SQL
ANSI SQL expertise,Ansi Sql Expertise
ANSI X12,ANSI X12
ANSIBLE AUTOMATION ENGINEER,Ansible Automation Engineer
ANSYS,ANSYS
ANT,ANT
ANTs,ANTs
AOP,AOP
AP files,AP files
APA Innovations LoB Lead,APA Innovations LoB Lead
APC Operator - KNTV/KSTS,APC Operator - KNTV/KSTS
APEX Class,APEX Class
APEX technology,APEX technology
APGEE,APGEE
API Architecture,API Architecture
API Authentication Key Bypasses,Api Authentication Key Bypasses
API Best Practices,Api Best Practices
API Calls,API Calls
API Connections,API Connections
API Connectivity,API Connectivity
API Connectors,API Connectors
API Contracts,API Contracts
API DEVELOPER,Api Developer
API Design,API Design
API Design/Development,API Design/Development
API Documentation,API Documentation
API Gateway,API Gateway
API Gateway and ESB,Api Gateway And Esb
API Gateways,API Gateways
API Integration,API Integration
API Integration/Management Platforms (APIGEE,Api Integration/Management Platforms (Apigee
API Integrations,API Integrations
API Interfaces Data Mapping,Api Interfaces Data Mapping
API Knowledge,API Knowledge
API Layers,API Layers
API Management,API Management
API Management technologies,Api Management Technologies
API Manager,API Manager
API Q1,API Q1
API Q2,API Q2
API Scripting,API Scripting
API Security,API Security
API Standards (API Q1,Api Standards (Api Q1
API and microservices (REST,Api And Microservices (Rest
API architecture standards,Api Architecture Standards
API clients,API clients
API creation,API creation
API data ingestion,Api Data Ingestion
API data integration,Api Data Integration
API design and development,Api Design And Development
API design and development: REST APIs,Api Design And Development: Rest Apis
API development and SDKs,Api Development And Sdks
API driven search design and development,Api Driven Search Design And Development
API frameworks (REST,Api Frameworks (Rest
API infrastructure design and implementation,Api Infrastructure Design And Implementation
API ingestion,API ingestion
API integration management,Api Integration Management
API interaction,API interaction
API lifecycle management,Api Lifecycle Management
API management tools,Api Management Tools
API management tools (e.g.,Api Management Tools (E.G.
API management toolsets,Api Management Toolsets
API products,API products
API protocols,API protocols
API querying,API querying
API resiliency,API resiliency
API scraping,API scraping
API security and authentication mechanisms (OAUTH,Api Security And Authentication Mechanisms (Oauth
API standards,API standards
API's,API's
API-driven microservices,API-driven microservices
API-driven web applications,Api-Driven Web Applications
APIC  &  DataPower Developer,APIC  &  DataPower Developer
APICSCPIM,APICSCPIM
APIGEE,APIGEE
APIs,APIs
APIs Development,APIs Development
APIs design and implementation,Apis Design And Implementation
APK Development,APK Development
APM,APM
APM Tools (e.g. AppDynamics,Apm Tools (E.G. Appdynamics
APN Software services Inc.,Apn Software Services Inc.
APPLICATION ENGINEER,Application Engineer
APPLICATION SECURITY ENGINEER,Application Security Engineer
APQP (Advanced Product Quality Planning),Apqp (Advanced Product Quality Planning)
APQP/PPAP/FMEA,APQP/PPAP/FMEA
APRDRG,APRDRG
APRISO Expert,APRISO Expert
APS Solutions Architecture,Aps Solutions Architecture
APT and/or Tableau,Apt And/Or Tableau
APU,APU
APeX/Epic,APeX/Epic
AQL Audits,AQL Audits
AQT,AQT
AR Developer,AR Developer
AR- Follow up,AR- Follow up
AR.js,AR.js
AR/VR,AR/VR
AR/VR- Senior Developer/Lead,Ar/Vr- Senior Developer/Lead
ARAgeingreport,ARAgeingreport
ARC,ARC
ARIES software,ARIES software
ARINC 424,ARINC 424
ARINC 816,ARINC 816
ARINC429,ARINC429
ARIS,ARIS
ARM,ARM
ARM Template Design,Arm Template Design
ARM Templates,ARM Templates
ARM/Terraforms/Ansible,ARM/Terraforms/Ansible
ARMv8 platforms,ARMv8 platforms
ARP,ARP
ARP4754A,ARP4754A
ART DIRECTOR,Art Director
ARTIFACTORY ADMINISTRATOR,Artifactory Administrator
ARTIFACTORY ENGINEER,Artifactory Engineer
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING LEADER,Artificial Intelligence / Machine Learning Leader
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.LEADER,Artificial Intelligence / Machine Learning Sr.Leader
ARTIFICIAL INTELLIGENCE ARCHITECT,Artificial Intelligence Architect
ARTIFICIAL INTELLIGENCE ENGINEER,Artificial Intelligence Engineer
ARTIFICIAL INTELLIGENCE RESEARCHER,AI Researcher
AS 400,AS 400
AS/400,AS/400
AS2,AS2
AS400,AS400
AS400 Software,AS400 Software
AS9100,AS9100
ASA,ASA
ASC 606,ASC 606
ASCII/EBCDIC,ASCII/EBCDIC
ASE,ASE
ASG,ASG
ASK,ASK
ASM,ASM
ASME BPE,ASME BPE
ASN.1,ASN.1
ASO,ASO
ASP,ASP
ASP .Net,ASP .Net
ASP.NET Web API,Asp.Net Web Api
ASP.NET architecture,ASP.NET architecture
ASP.NET architecture and development,Asp.Net Architecture And Development
ASP.Net application development,Asp.Net Application Development
ASP.Net environment proficiency,Asp.Net Environment Proficiency
ASP.net Developer,ASP.net Developer
ASP.netWebDevelopment,ASP.netWebDevelopment
ASP.netc#,ASP.netc#
ASP.netc#SQL,ASP.netc#SQL
ASPX,ASPX
ASR Routers,ASR Routers
"ASSISTANT VICE CHANCELLOR, IT & CIO","Assistant Vice Chancellor, It & Cio"
ASSOCIATE ARCHITECT,Associate Architect
ASSOCIATE DATA ANALYST,Associate Data Analyst
ASSOCIATE QUALITY ENGINEER,Associate Quality Engineer
AT254: Release & Classification Analyst - Afternoon Shift,AT254: Release & Classification Analyst - Afternoon Shift
ATAC-seq,ATAC-seq
ATD,ATD
ATG,ATG
ATL tools,ATL tools
ATS,ATS
ATS/HCM System Maintenance and Integration,Ats/Hcm System Maintenance And Integration
ATS/STS Units,ATS/STS Units
ATSU - Network Security Analyst,ATSU - Network Security Analyst
ATSV-Product Test Architect,ATSV-Product Test Architect
AURORA,AURORA
AUTOMATION SPECIALIST,Automation Specialist
AUTOPSY ATTENDANT,Autopsy Attendant
AUTOSAR and Genivi,Autosar And Genivi
AUTOTRACE,AUTOTRACE
AV Systems Knowledge,Av Systems Knowledge
AV design and implementation,Av Design And Implementation
AV installations,AV installations
AV/VC infrastructure,AV/VC infrastructure
AVEVA PI,AVEVA PI
AVP Data Engineer,AVP Data Engineer
"AVP, Cloud Data Lead","AVP, Cloud Data Lead"
AVST Cert CX Admin,Avst Cert Cx Admin
AWR Reports,AWR Reports
AWS  /  DevOPS Engineer,AWS  /  DevOPS Engineer
AWS & Microsoft Azure,Aws & Microsoft Azure
AWS (API Gateway SQS SNS RDS S3),Aws (Api Gateway Sqs Sns Rds S3)
AWS (Amazon Web Services),Aws (Amazon Web Services)
AWS (CloudFront ECS Aurora SQS Lambda),Aws (Cloudfront Ecs Aurora Sqs Lambda)
AWS (EC2 S3 Lambda SNS/SQS),Aws (Ec2 S3 Lambda Sns/Sqs)
AWS (EC2 S3 SQS DynamoDB Lambda EKS),Aws (Ec2 S3 Sqs Dynamodb Lambda Eks)
AWS (EMR S3 Redshift Athena),Aws (Emr S3 Redshift Athena)
AWS (Kinesis,AWS (Kinesis
AWS (Kinesis Kafka S3 RedShift),Aws (Kinesis Kafka S3 Redshift)
AWS (Lambda Dynamo DB RDS Elasticache Elasticsearch),Aws (Lambda Dynamo Db Rds Elasticache Elasticsearch)
